,hard_text,profession,gender,id
12,"His priority is understanding his clients’ needs and reflecting the story of their wedding in a reportage style, using only natural light. He captures the fleeting moments that make up a magical day – blending unobtrusively into the background, observing enchanting instants that could otherwise be missed in the flurry.",photographer,M,12
13,"She has immersed in photography and digital art since middle school. She is currently an Exhibit Curator and Graphic Designer for the Qhia Dab Neeg Film Festival as well as a photography mentor, exhibit curator and teaching artist at In Progress. Her work has been featured in exhibits such as the Best 100, SooFuze, Scholastics Arts, Love Time & Diaspora, QDN2013, and Creative Risings and Story of the Creatives in NYC. She has also been recently published in Genfacio Magazine, Editorial Magazine, & MMMagazine.",photographer,F,13
14,"She is a graduate of the University of Virginia School of Engineering and Applied Science and has been concentrating on front-end development for two years. When she isn’t programming, Emily loves to hike and do yoga.",software engineer,F,14
15,"He taught powerfully on how to develop a sensitivity toward seeing in the Spirit. He also explored the visionary capacity in which Jesus engaged as He performed micracles in His earthly monistry. From this vantage point, the prophectic can be wed with the miraculous.",teacher,M,15
16,"Perhaps cowardly, he wraps them up in a blanket before driving away from the scene, and finds himself troubled by it when the police start to investigate the accident which subsequently turned into a murder. They arrest a man named Clinton Davis who was found to have blood spattered evidence in the back of his van, but he is let off when the jury rule reasonable doubt for the crime. Mitch realises that he has become an inadvertent witness to Davis' gruesome torture-murder spree but in order to prove it and bring justice to the families of his victims and stop him from killing again, he has to own up to his hit-and-run offence and risk losing his promising career. Continue: Reasonable Doubt - Trailer & ClipAdmission ReviewBy Rich Cline",attorney,M,16
17,"A copywriter, feature writer and editor on several newspapers, magazines and websites, she tutors hard news journalism and magazine journalism at SA Writers College (www.sawriterscollege.co.za)",journalist,F,17
18,"Her main areas of interest are diabetes and travel health, and she loves the variety of work in general practice. Rhona managed to combine her nursing skills with travel while volunteering in Namibia and Peru. When she retires she would like to work for a year or so with VSO. In her free time, she is involved with the Simon Community, a charity working with homeless people in Glasgow.",nurse,F,18
19,"Her films have received awards and commendations from a variety of prestigious international film festivals. She lives in England, where she serves as senior lecturer in animation at Northumbria University, directs commercial animation and is developing a cross-media animated documentary project.",filmmaker,F,19
20,"He specializes in head, neck and lung cancers. He studies which novel drugs appear most promising, which individual tumors are more likely to respond to these treatments, and how to successfully combine therapies. Dr. Seiwert uses this pre-clinical knowledge to develop new treatments for use in clinical trials, and to ultimately improve patient care.",professor,M,20
21,While working inside these large corporations he realized something astonishing. What he uncovered was a slew of principles and practices which were being used by large corporations to increase their bottom line and make their businesses tremendously more efficient. Many of these core principles were the very reasons why these large corporations became so big and many of which ran so efficiently.,accountant,M,21
22,"Dr. Mohammed Shaheen practices at Metro Cochin Dental Clinic in Banerji Road, Ernakulam. He completed BDS from The Tamil Nadu Dr. M.G.R. Medical University (TNMGRMU) in 2010 and MDS - Conservative Dentistry & Endodontics from YENEPOYA UNIVERSITY in 2015. He is a member of Indian Dental Association. Some of the services provided by the doctor are: Braces Adjustment,Smile Design,Scraping Periodontal,Scaling / Polishing and Maxillofacial Prosthetics etc.",dentist,M,22
23,"Ms. Yesalis practices medicine in Lynchburg, VA and specializes in Rheumatology. Ms. Yesalis is affiliated with Centra Lynchburg General Hospital and Virginia Baptist Hospital. Ms. Yesalis speaks English and Spanish.",physician,F,23
24,"Her passion for serving and guiding her clients from the first sketch to the house warming party has resulted in many successful custom home projects ranging from $200,000 to $5 million. One of Sheri's most treasure... More info →",architect,F,24
25,"From 2013 to 2017, he was an assistant professor at the ECE Department at the Illinois Institute of Technology (IIT), Chicago. He was a research scholar at the EE Department at Princeton University (2012-2013) and a postdoc at the EECS department at the University of California, Berkeley (2010-2011). He received his Ph.D. degree in electrical engineering from Texas A&M University, College Station, in 2009. He received the NSF CAREER award in 2016. His research interests lie in the areas of information theory, coding theory and their applications to data security and privacy.",professor,M,25
26,"She was caught in the rain on Monday outside of Fitger's and went in to stay dry. She has recently started to paint storefront windows, so when she saw Lotus on the Lake she couldn't resist starting a new painting.",painter,F,26
27,"He honors Blue Cross/Blue Shield, Blue Cross Blue Shield EPO, and Blue Cross Blue Shield Bronze, in addition to other insurance carriers. Dr. Rosenbaum studied medicine at New York University (NYU) School of Medicine. In addition to English, he speaks Spanish.",physician,M,27
28,Ralph currently resides in Brooklyn where he moved with his family when he was nine years old. Ralph’s pro modelling career went from strength to strength space of just one day when he landed a modelling contract with Re:Quest and a spot on the Yeezy Season 3 show. Before landing the … Continue reading →,model,M,28
29,"She and the doctor thought Kara's pain might be linked to granuloma annulare, a common skin condition that periodically caused bumpy breakouts on the girl's feet. The doctor biopsied the bumps, prescribed the painkiller Vicodin and sent Kara home, advising she use crutches.",nurse,F,29
30,"Mr. Arturo Castillo's NPI Number is #1073820528 and has been listed in the NPI registry for 6 years. Mr. Arturo Castillo's practice location is listed as: 2033 W 7Th St Los Angeles, CA 90057-4073 and can be reached via phone at (213) 413-5093.",physician,M,30
31,"Dr. Aktug received his Ph.D. in Economics from Lehigh University – Pennsylvania and his Bachelors in Management from Bogazici University – Istanbul. His research on credit risk and financial markets appeared in various economics and finance conferences, and in various business journals. He was born in Canakkale-Turkey, also known as the famous city of Troy in history, and he currently resides in Atlantic City, USA.",professor,M,31
32,"He completed his undergraduate work at Cornell University and attended graduate school at the University of Rochester, earning his Ph.D. in Developmental Psychology in 2004.",professor,M,32
33,"She was selected by the National Film & Television School and BFI as one of ‘the most talented filmmakers in the country’, when she was just 16. Florence was chosen to direct the dark comedy short film ‘Afterlife’ supported by the BFI (British Film Institute) and BAFTA. She now currently works in Visual Effects at the Oscar-winning companies Industrial Light & Magic & Double Negative. She has worked on films such as STAR WARS VIII: The Last Jedi, Jungle Book (2018), A Wrinkle In Time and The Nutcracker.",filmmaker,F,33
34,"He is developing methods for integrating and analyzing heterogeneous data types, including next-generation genome and transcriptome sequencing, metabolomics, proteomics, and electronic medical records. He and members of his laboratory develop algorithms and methods based on rigorous computational and mathematical approaches that can be used to account for the lack of controls within large, heterogenous data sets. The goals of his research are to understand basic biology, and ultimately to use this knowledge to improve human health.",professor,M,34
35,"Mr. Kevin D Mack's NPI Number is #1255495032 and has been listed in the NPI registry for 10 years. Mr. Kevin D Mack's practice location is listed as: 115 South 8Th Street Indiana, PA 15720 and can be reached via phone at (724) 349-4009.",chiropractor,M,35
36,"Dr. Hearne specializes in the treatment of health mental problems, and helps people to cope with their mental illnesses. As a psychologist, Dr. Hearne evaluates and treats patients through a variety of methods, most typically being psychotherapy or talk therapy. Patients usually visit Dr. Hearne because they have been experiencing depression, anxiety, stress or anger for a significant period of time and are seeking help. Psychologists may perform a variety of exams and assessments to diagnose a mental condition.",psychologist,F,36
37,"Keohane award for the best article published in IO by an untenured scholar.� He has articles� published or forthcoming in journals such as International Organization, World Politics, International Security, and Foreign Policy. Prof. Colgan is currently on research leave from American University.� He is a Fellow at the Woodrow Wilson Center for International Scholars in Washington DC.",professor,M,37
38,"Her research interests include African American literature, contemporary American literature, memoir, and genre theory. She has been published in Genre, JNT: Journal of Narrative Theory, a/b: Autobiography Studies, and Callaloo.",professor,F,38
39,"His research focuses on networks of diplomats, scholars, and merchants who connected Mediterranean Europe with the Middle East and Central Asia in the medieval and early modern eras. His first book traces the political debates over Graeco-Arabic philosophy and Sufism from Cordoba to Cairo (10th-12th centuries) as a larger window into the contested nature of political and religious authority in the medieval world. He is currently working on a new book on law and economy along the Safavid and Ottoman silk routes to Venice (16th-17th centuries). Before arriving at Bates College in 2012, he taught at Bard College and New York University. He earned a Ph.D. and M.A. at New York University in History and Middle Eastern Studies and a B.A. at Cornell University.",professor,M,39
40,"On a daily basis, she is responsible for teaching undergraduate and graduate students in the areas of elementary education and curriculum, language arts and models of instruction for social studies. Having previously taught at the elementary level, she became a professor of higher education after earning a doctorate in language literacy and English as a second language from the University of Tennessee in 2004. A renowned researcher, Dr. Coffey serves as editor-in-chief for two online journals, “Taking Teaching & Learning Seriously” and “The Facilitator,” and is the author of “Unlocking the Power of Language Research Based Strategies for Literacy Development.”",professor,F,40
41,"E-mail questions to her at deardesigner@projectdesigninteriors .com or send them to her at Project Design Interiors, 2620 S. Maryland Parkway, Suite 189, Las Vegas, NV 89109. She can be reached online at www.projectdesign interiors.com.",interior designer,F,41
42,"She received a BS from the University of Michigan and an MD from Mount Sinai School of Medicine. Prior to residency, she was a Howard Hughes Medical Institute Fellow at the National Institutes of Health. She completed her radiation oncology residency at MD Anderson Cancer Center. Her research interests include clinical trials and expanding the role of radiation therapy for the treatment of primary liver tumors. Dr. Tao is the lymphoma site moderator for radiation oncology.",professor,F,42
43,"He can be reached at morrisr@UNCE.unr.edu. His column is taking a short break while he is in Tajikistan working with drip irrigation for grape growers. This column originally ran Aug. 7, 2007.",professor,M,43
44,"She initially trained at Rutgers Graduate School of Social Work (MSW), where she studied sex therapy under Sandra Leiblum, PhD and Ray Rosen, PhD. Subsequently, Leora received her doctorate in Clinical Psychology (PsyD) at Rutgers Graduate School of Applied and Professional Psychology. She is an AASECT certified sex therapist and member of SSTAR. Besides clinical experience, Leora has consulted to the corporate sector, where she has lectured on topics such as stress management, healthy lifestyles, conflict in the workplace, and the dual-career couple. She is currently in private practice in mid-town Manhattan.",psychologist,F,44
45,"His work focuses on the experiences of being an in-betweener. Covering topics surrounding belonging, love, loss and shame. Magan has read his work at the National Gallery of Victoria. His work has been published in Hyde magazine as well as in the anthology Shots From The Chamber and Hunter Anthology of Contemporary Australian Feminist Poetry. He has forthcoming work to be published in the 2016 literary arts journal Offset. He facilitates a fortnightly writing circle supported by Australian Poetry. Magan is currently working on his first collection of poems titled Writing Shame Away.",poet,M,45
46,"Over the past 14 years, she has written primarily on environmental and conservation issues for newspapers and magazines. Padma also co-hosts and produces India's first science and culture podcast, The Intersection. As a recent graduate of conservation from Trinity College Dublin, she is trying to re-forge her career with a firmer focus on nature conservation and her feet in the field, no matter where she is. Padma is a keen science communicator and would love nothing more than to change minds about wildlife through conversations and narratives. When not reading or writing, she likes to spend most of her time in the wilderness.",journalist,F,46
47,"As a naturopath, her philosophy is to use the least invasive and effective method to bring balance to the body and restore health. Her areas of focus include Allergies, Environmental Medicine and Chemical Sensitivities, Homeopathy and Herbal Medicine, Heavy Metal Detoxification, Anti-Aging and Weight Loss. She was recently featured in Natural Awakenings magazine for an article on Helping to Solve the Mystery of Food Allergies. Topics:",physician,F,47
48,"She started her carrier as a journalist with the Northern India Patrika in 1983. She then joined the Times of India and worked with it for the next 14 years. Kulsum also worked with the Indian Express, where she was looking at political issues. She has been associated with Doordarshan and All India Radio as well, where she scripted programmes on youth, women and social issues. She also regularly contributes to BBC, the German Radio and the Voice of America and was a stringer for the Associated Press.",journalist,F,48
49,"Theiler switched majors more than once, but in her junior year in college was when she decided to seriously pursue into education. She believes that teaching Spanish is the best profession in the world no doubt about it. The fact that she learns something new every day and there is not a day that goes by without something un­expected happening keeps her on her toes and makes her love Spanish more.",teacher,F,49
50,"She grew up an Evangelical Christian and began to explore the visual richness of Catholicism while studying in Italy during college, which eventually led her into the fullness of the Roman Catholic Church. She was confirmed at Easter 2001 in the Cathedral of Orvieto, Italy.",painter,F,50
51,"When she is not filming, she spends much of her time blogging and freelance writing. She is the voice behind Mito Vox, an entertainment & etc. blog. To learn more about her freelance services visit her website. View all her Film Annex posts on her WebTv Channel.",filmmaker,F,51
52,"She often writes about people who, by choice or by chance, have ended up on the outskirts of society. Her recent New Yorker feature, ""Lone Stars,"" profiled a movement of renegade sheriffs who believe they answer to the Constitution alone. She's also written about anti-government extremists in Las Vegas, a community run by followers of polygamist sect leader Warren Jeffs, a 36-day manhunt in California redwood country, and college students teetering on the brink of homelessness.",journalist,F,52
53,He is currently working in the Office Communications Group and has worked in the .NET team earlier in the Base Class libraries and the Debugging and Profiling team. He can be reached at vipul_d_patel @ hotmail.com,software engineer,M,53
54,"Dr. Gottesman graduated from Ohio State University College of Medicine in 1977 and has been in practice for 40 years. He completed a residency at Riverside Methodist Hospital. He currently practices at Arlington Orthopaedic & Foot Surgeons Inc and is affiliated with Nationwide Children's Hospital and Riverside Methodist Hospital. Dr. Gottesman accepts multiple insurance plans including TRICARE, Medical Mutual of Ohio and Medicare. Dr. Gottesman is board certified in Orthopaedic Surgery.",surgeon,M,54
55,"Dr. Pooja Jain practices at Just Smile Dental Clinic in Mahalaxmi Nagar Colony, Indore. She completed BDS from Maharashtra Universtity of Health Sciences, Nashik in 2007. Some of the services provided by the doctor are: Crowns and Bridges Fixing,Cosmetic/ Aesthetic Dentistry,Smile Design,Dental Fillings and Conservative Dentistry etc.",dentist,F,55
56,"She is also a web designer and developer. What inspires her are rusted buildings, smoke stacks, railroad tracks, interesting faces and places. To see her portfolio, please visit: www.filterfourdesign.com",photographer,F,56
57,"Patrick’s passion for photography is in his blood, rooted in vivid childhood memories with his father, who was a keen film maker. He enjoys continuing the family tradition, and loves nothing more than bringing home amazing photographs from his travels to share with friends and relatives.",photographer,M,57
58,"She's worked in a variety of jobs, some suspiciously secretarial, and has received a Pushcart Prize, a Carmargo Fellowship, and the Jack Kerouac Literary Award.",professor,F,58
59,"She received her M.D. from Columbia University, Physicians & Surgeons. She served as a clinical professor of Pathology at University of California, San Francisco Medical Center from 1995 to 2006. She has been interested in environmental issues, especially preserving marine life, through organizations in San Francisco bay area and South East Asia.",physician,F,59
60,"Biography Dr. McClary earned her Ph.D. in Secondary Education from the University of South Carolina in 2014. Prior to becoming employed at Claflin University in 2013, Dr. McClary taught high school science courses in SC and CA and served as an Elementary School Science Interventionist and a High School Science Coach. Education B.S., Biology Education, Claflin University, Orangeburg, SC, 1997",professor,F,60
61,"Dr Matthews specialises in overcoming barriers to success and regularly lectures on Life and Behavioral Coaching, Positive Psychology. She has also conducted research studies into 'Imposter Syndrome'.",psychologist,F,61
62,"For 20 years, she has taught formal cardiopulmonary resuscitation classes that instruct people how to clear a person's airway then alternate chest compressions with mouth-to-mouth resuscitation — classic, textbook CPR.",nurse,F,62
63,Working as a true bespoke photographer soon led to bigger commissions from large commercial work to events in stunning locations. Scott has worked with top clients from around the globe and uses his experiences to share with his growing following.,photographer,M,63
64,"Dr. Manisha P. Vichare practices at Dental Studio in Kandivali West, Mumbai. She completed BDS from Government Dental College & Hospital, Mumbai in 1992. She is a member of Indian Dental Association. Some of the services provided by the doctor are: Cosmetic/ Aesthetic Dentistry,Artificial Teeth,Teeth Whitening,Cosmetic Makeovers and Teeth Reshaping etc.",dentist,F,64
65,"Dr. Ledoux is a graduate of Louisiana State University School of Medicine in New Orleans and a graduate of Charity Hospital, New Orleans' residency program. He is an in-network provider for Humana HMO, Humana Bronze, and Humana Catastrophic, as well as other insurance carriers. He is professionally affiliated with Terrebonne General Medical Center (TGMC).",physician,M,65
66,"He photographs in the documentary style, exploring themes of social and military conflict that lie at the edges of the human experience. His recent work was supported by the Pulitzer Center on Crisis Reporting.",journalist,M,66
67,"Paul, MN. An ordained Lutheran (ELCA) pastor, she has served churches in Iowa and Wisconsin. She studies and writes about various topics, including God and suffering, biblical narrative, Jewish-Christian dialogue, preaching, and the Bible and ecology. She is author of ""Out of the Whirlwind: Creation Theology in the Book of Job"" (Harvard, 2008). She also contributes regularly to Workingpreacher.org and EntertheBible.org.",professor,F,67
68,"Her clinical interests include eyelid surgery, mini tummy tuck, and botox injection. Patient reviews placed her at an average of 5.0 stars out of 5. Dr. Seelig is in-network for Blue Cross/Blue Shield, Blue Cross Blue Shield Bronze, Blue Cross Blue Shield HMO, and more. Dr. Seelig is a graduate of Brown University, Alpert Medical School. Her medical residency was performed at New York-Presbyterian Hospital, Columbia University Medical Center, and a hospital affiliated with Tulane University. She is professionally affiliated with The Hospitals of Providence - Memorial Campus.",physician,F,68
69,"Mr. Pincow’s practice focuses on representing clients in connection with real estate acquisitions, dispositions and finance transactions. His experience includes the representation of institutional lenders, developers, hotel owners, retail companies, landlords and tenants in connection with a wide variety of commercial assets including mixed-use, hotel, residential and retail properties. Mr. Pincow earned his B.A. from Cornell University, where he was a Dean’s Scholar, and his J.D., cum laude, from New York Law School, where he was an Articles Editor of the New York Law School Law Review and a John Marshall Harlan Scholar. Real Estate",attorney,M,69
70,"Her research focuses on low-performing schools and high-stakes accountability, principal leadership, teacher motivation, inter-district choice, and charter schools. She was project manager for the Chicago School Probation Study.",professor,F,70
71,"He teaches costume design. When not teaching, Holt makes outfits for his drag queen persona, Tempest DuJour. He says his inspiration comes from songs he plans to perform during shows. Photo taken Wednesday May 21, 2014. Buy Now",professor,M,71
72,She says parental supervision is the best way to prevent playground accidents. Adult supervision can help prevent injuries by making sure kids are using playground equipment properly and aren’t engaging in any unsafe behavior on the playground.,physician,F,72
73,"He is a member of State Key Laboratory of Image Processing and Intelligent Control, and the Science and Technology on Multispectral Information Processing Laboratory. His current research interests include multi-spectral image processing, target detection and recognition，hardware architecture and embedded system for real-time image/video processing and so on. He has published over 15 papers in the important international journals and conference such IEEE T-IP, T-IM, ICIP, GRSL, and OSA OL, OE. He is a member of the IEEE.",professor,M,73
74,She is a native Oklahoman who grew up in Oklahoma City. She spent her childhood exploring the creek trails and local parks within the Bethany area where she lived.,journalist,F,74
75,"He is the Medical Director for the Geriatric Rehabilitation Program at Toronto Rehab, and the Co-Director of the University Health Network Memory Clinic. Dr. Keren is the President of the Canadian Colloquium on Dementia. He has extensive experience as a primary and co-investigator in Alzheimer clinical drug trials. Dr. Keren has an interest in end-of-life issues for patients with advanced dementia.",professor,M,75
76,"She received her Ph.D. in English with specializations in Rhetoric and Composition and Women, Gender, and Sexuality Studies from the University of Massachusetts Amherst.Professor Ouellette’s teaching and research areas include feminist rhetorical studies, digital rhetoric, globalization, and transnational studies. In addition to publishing essays on transnational feminist rhetorical methods and digital rhetoric, she is currently working on a book project involving a transnational feminist study of the relationship between global rhetorics, affect, and digital circulation.",professor,F,76
77,"She is also the director of the DUSON Accelerated Bachelor of Science in Nursing program and project director of the HRSA-funded Nursing Workforce Diversity program at DUSON. She continues her clinical practice as a staff nurse in the Duke University Hospital Intensive Care Nursery. Dr. Carter has 28 years of U.S. Navy service and currently holds the rank of Commander in the U.S. Navy Reserves. Dr. Carter's current research focuses on nursing care of premature infants. She earned a BS degree in nursing from the North Carolina Central University, a MS in nursing education degree from the University of North Carolina at Greensboro and a PhD in nursing from the University of North Carolina at Chapel Hill.",professor,F,77
78,"Her manuscript, Mary Prince and Her Sisters: Gender, Race, Migration, and the Problem of Authenticity, has recently been contracted by Ohio State University Press and her other books include Studying Religion: A Reader (Acumen, forthcoming) and the co-edited Race and Displacement (The University of Alabama Press, 2013). She is also the co-editor (along with Houston Baker) for the newly contracted collection, The Trouble with Post-Blackness(Columbia University Press), examining the assumptions that make possible the ideal of “post-blackness” that many media moguls, politicians, and public intellectuals have now adopted.",professor,F,78
79,"He received his Ph.D. from the University of Bonn, Germany. Philipp is a microeconomic theorist who studies behaviour in dynamic situations and also conducted research into the role of private learning in dynamic contests, strategic experimentation games, and dynamic mechanism design.",professor,M,79
80,"Clark's photographs appear in several notable books, such as Friday Night Lights, First Down Houston, and Feathers: Displays of Brilliant Plumage. His photographs documenting the September 11, 2001 terrorist attacks are some of the most widely reproduced images of the event and are part of the collections of many museums and archives. Clark lives in Brooklyn, New York.",photographer,M,80
81,"She also designs a self-named line of furniture for Lane Venture, fabric for Braemore, and wallpaper for Zoffany. She has been featured as one of House Beautiful magazine's Top 100 Designers for over five consecutive years, and was named one of the fifty taste makers for the future of design by the much missed House and Garden magazine.",interior designer,F,81
82,"She was born December 13, 1988 in San Juan where she was raised. Camila started her modeling career at age 13 when she did a bathing suit and underwear print campaign for Planell Swimwear/ Planell Intimates. She participated in other print campaigns, but it wasn't until she was 16 that her acting career took center stage.",model,F,82
83,"Steve has written numerous articles on Greek tragedy and has published translations (with commentaries) of Euripides' Bacchae and Sophocles' Ajax in two anthologies he has edited, Euripides: Medea, Hippolytus, Heracles, Bacchae (2002, Focus), and Odysseus at Troy: Ajax, Hecuba, and Trojan Women (2010, Focus). He is also the founding editor of the Oxford Greek and Latin College Commentaries, the first volume of which will be his grammatical commentary (with running vocabulary) on Sophocles' Oedipus Tyrannos (Oxford UP, 2012)",professor,M,83
84,"She earned her Bachelor of Arts (Hons.) at Queen’s University, where she majored in Political Studies. After several years in the office of a federal Member of Parliament, Stacey worked as an Account Executive at a Toronto advertising agency. Throughout those years, she also volunteered at the Toronto Public Library as a tutor in the adult literacy program. In 1999, she returned to school to complete her Bachelor of Education at the Ontario Institute for Studies in Education at the University of Toronto, and began teaching in the Toronto District School Board in 2000 as a classroom teacher and as an ESL resource specialist. Stacey lives in Toronto with her husband and two children.",teacher,F,84
85,"She received her yoga teaching certification from Karma Kids Yoga in New York City. As a dedicated yogi herself, Andrea appreciates the many benefits of yoga and wanted to be able to bring those benefits to children in a fun and interactive way.",yoga teacher,F,85
86,"Mrs. Sarah S Hatter primarily specializes in Nurse Practitioner but also specializes in and Registered Nurse (RN). Mrs. Sarah S Hatter's NPI Number is #1912217498 and has been listed in the NPI registry for 8 years. Mrs. Sarah S Hatter's practice location is listed as: 164 Jesse Ct Fisherville, KY 40023-6416 and can be reached via phone at (502) 321-4282.",nurse,F,86
87,"She has worked in various finance and business affairs roles on numerous productions, including Bruce McDonald’s Pontypool, Ruba Nadda’s Sabah, and Larysa Kondracki’s The Whistleblower. She is also a trainer and lecturer on budgeting, tax credits, financing, and production in film and television programs in Toronto. Most recently Michale worked as a Business Officer in the Tax Credits Department at the Ontario Media Development Corporation.",filmmaker,F,87
88,He has years of industrial experience in the areas of business consulting and IS analysis at a large state-owned company in China and Fortune 500 firms in the United States.,professor,M,88
89,"His major research interests include institutional complexity, global climate governance, deforestation, and the environmental role of the World Trade Organization. He is directing the international project NAVIGOV on ‘Navigating Institutional Complexity in Global Climate Governance’. The project is funded by the Swedish research council Formas and focuses on institutional fragmentation in three fields of climate governance: short-lived climate pollutants, reducing emissions from deforestation and forest degradation (REDD), and climate geo-engineering.",professor,M,89
90,"Patient reviews placed Dr. Creech at an average of 5.0 stars out of 5. His clinical interests include eyelid surgery, breast reconstruction revision, and mentor breast implants. He honors Medicare insurance. He attended medical school at the University of Missouri-Columbia School of Medicine and the University of Missouri-Kansas City School of Medicine. He completed his residency training at the University of Kansas Medical Center and a hospital affiliated with the University of Louisville. Dr. Creech is professionally affiliated with Chandler Regional Medical Center and Banner Desert Medical Center.",surgeon,M,90
91,"She is the author of Academy of Nutrition and Dietetics Pediatric Nutrition Practice Group’s online care manual chapter on eating disorders and Practice Paper. She is also a founding co-chair of the FBT Special Interest Group of the Academy for Eating Disorders and is a professional advisor to FEAST. She is the Director of the Disordered Eating/Eating Disorder subunit, Sports, Cardiovascular and Wellness Nutrition Practice Group and is also Vice President, Willamette Valley Oregon Chapter of IAEDP.",dietitian,F,91
92,"He is proficient in root canals, dentures, cosmetic dentistry, surgical extraction, and crowns. He is also knowledgeable in treating all aspects of dentistry, including the most advanced problem cases and the most challenging aesthetic concerns. He offers excellent dental care without sacrificing the budget of his patients.",dentist,M,92
93,"He has worked there since 1999. Before that, he spent 8 years as at Emerson Process Control developing software for controlling large oil refineries and chemical plants.",architect,M,93
94,"Mary began her teaching career in the New Albany School District, Columbus, OH for two years, followed by two years teaching on the Navajo Indian Reservation, Kayenta, AZ before returning to the Tri-state area, in 1979.",professor,F,94
95,He has 38 years of experience. His specialties include General Dentistry. Dr. Fee is affiliated with Captain James A. Lovell Federal Health Care Center. He speaks English.,dentist,M,95
96,"He has published several short stories around the web and is currently busy with Steampunk Fairy tale anthology Volume II, available on Amazon. He’s also hard at work on the fist book in his new scifi series. Check him out at www.DanielLind.org",teacher,M,96
